xflr5 v6.61

Plane name :        FunCub_Flaps100_Eta10
Polar name :        T1-30.0 m/s-VLM2-b5.0°
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     5.000  -0.109265   0.027931   0.039478   0.067410  -0.029267  -0.006844  -0.013213   0.011200   0.011138   30.0000     0.0511
   -9.500     5.000  -0.070812   0.027548   0.039207   0.066755  -0.029436  -0.006629  -0.019228   0.011485   0.011423   30.0000     0.0164
   -9.000     5.000  -0.032428   0.027399   0.039022   0.066421  -0.029662  -0.006407  -0.025180   0.011772   0.011706   30.0000    -0.0904
   -8.500     5.000   0.005880   0.027478   0.039032   0.066510  -0.029944  -0.006179  -0.031071   0.012053   0.011986   30.0000     4.4209
   -8.000     5.000   0.044106   0.027779   0.039171   0.066950  -0.030280  -0.005947  -0.036891   0.012333   0.012264   30.0000     0.3063
   -7.500     5.000   0.082243   0.028292   0.039377   0.067669  -0.030669  -0.005713  -0.042624   0.012602   0.012538   30.0000     0.2133
   -7.000     5.000   0.120285   0.029006   0.039146   0.068152  -0.031108  -0.005478  -0.048221   0.012878   0.012808   30.0000     0.1811
   -6.500     5.000   0.158225   0.029909   0.038674   0.068584  -0.031596  -0.005244  -0.053689   0.013154   0.013072   30.0000     0.1646
   -6.000     5.000   0.196057   0.030989   0.038421   0.069411  -0.032129  -0.005013  -0.059054   0.013414   0.013331   30.0000     0.1545
   -5.500     5.000   0.233778   0.032234   0.038226   0.070460  -0.032704  -0.004789  -0.064298   0.013656   0.013581   30.0000     0.1476
   -5.000     5.000   0.271362   0.033632   0.037943   0.071576  -0.033319  -0.004572  -0.069351   0.013928   0.013824   30.0000     0.1425
   -4.500     5.000   0.308374   0.035149   0.037412   0.072561  -0.034000  -0.004307  -0.073102   0.014174   0.014069   30.0000     0.1377
   -4.000     5.000   0.344259   0.036657   0.036861   0.073518  -0.034811  -0.003957  -0.074429   0.014455   0.014342   30.0000     0.1323
   -3.500     5.000   0.373510   0.037469   0.036258   0.073727  -0.036542  -0.003064  -0.063572   0.015070   0.014944   30.0000     0.1205
   -3.000     5.000   0.418651   0.040172   0.035519   0.075691  -0.036165  -0.003665  -0.082368   0.014858   0.014722   30.0000     0.1274
   -2.500     5.000   0.452990   0.041529   0.034969   0.076498  -0.037222  -0.003313  -0.080765   0.015151   0.015023   30.0000     0.1227
   -2.000     5.000   0.486822   0.042374   0.034418   0.076792  -0.038354  -0.002958  -0.078118   0.015452   0.015331   30.0000     0.1181
   -1.500     5.000   0.521394   0.039675   0.033801   0.073476  -0.039455  -0.002759  -0.077748   0.015703   0.015601   30.0000     0.1153
   -1.000     5.000   0.574316   0.044352   0.033699   0.078051  -0.038163  -0.005743  -0.125940   0.014994   0.014890   30.0000     0.1330
   -0.500     5.000   0.599555   0.048960   0.033606   0.082566  -0.041347  -0.002864  -0.098725   0.016051   0.015946   30.0000     0.1191
    0.000     5.000   0.631185   0.051525   0.033669   0.085194  -0.043514  -0.001234  -0.091340   0.016669   0.016572   30.0000     0.1141
    0.500     5.000   0.672236   0.047224   0.033786   0.081011  -0.044909  -0.001363  -0.104539   0.016936   0.016842   30.0000     0.1168
    1.000     5.000   0.709897   0.057082   0.033867   0.090949  -0.045831  -0.000628  -0.113557   0.017031   0.016954   30.0000     0.1178
    1.500     5.000   0.748854   0.063870   0.034016   0.097886  -0.046824  -0.000195  -0.127595   0.017117   0.017048   30.0000     0.1205
    2.000     5.000   0.794629   0.071489   0.034235   0.105724  -0.047482  -0.000002  -0.151296   0.017102   0.017033   30.0000     0.1255
    2.500     5.000   0.837304   0.080727   0.034501   0.115228  -0.048789   0.000303  -0.171522   0.017087   0.017027   30.0000     0.1292
    3.000     5.000   0.881810   0.085177   0.034703   0.119880  -0.048787   0.000520  -0.193139   0.016882   0.016816   30.0000     0.1328
    3.500     5.000   0.926437   0.090527   0.035031   0.125557  -0.049245   0.000798  -0.213337   0.016760   0.016691   30.0000     0.1357
    4.000     5.000   0.967434   0.100787   0.035392   0.136179  -0.050478   0.001279  -0.231745   0.016917   0.016846   30.0000     0.1381
    4.500     5.000   1.011948   0.108409   0.035909   0.144319  -0.051771   0.001732  -0.252949   0.016947   0.016884   30.0000     0.1408
    5.000     5.000   1.052603   0.114489   0.036527   0.151016  -0.052519   0.001931  -0.270798   0.016721   0.016668   30.0000     0.1428


