xflr5 v6.61

Plane name :        FunCub_Flaps100_Eta10
Polar name :        T1-10.0 m/s-VLM2-b5.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -9.500     5.000  -0.070812   0.027548   0.048098   0.075645  -0.029436  -0.006629  -0.018662   0.011740   0.011423   10.0000     0.0164
   -9.000     5.000  -0.032428   0.027399   0.047881   0.075280  -0.029662  -0.006407  -0.024630   0.011899   0.011706   10.0000    -0.0904
   -8.500     5.000   0.005880   0.027478   0.047678   0.075157  -0.029944  -0.006179  -0.030522   0.012119   0.011986   10.0000     4.4209
   -8.000     5.000   0.044106   0.027779   0.047815   0.075594  -0.030280  -0.005947  -0.036364   0.012402   0.012264   10.0000     0.3063
   -7.500     5.000   0.082243   0.028292   0.047928   0.076219  -0.030669  -0.005713  -0.042113   0.012677   0.012538   10.0000     0.2133
   -7.000     5.000   0.120285   0.029006   0.047963   0.076968  -0.031108  -0.005478  -0.047760   0.012954   0.012808   10.0000     0.1811
   -6.500     5.000   0.158225   0.029909   0.047911   0.077820  -0.031596  -0.005244  -0.053291   0.013217   0.013072   10.0000     0.1646
   -6.000     5.000   0.196057   0.030989   0.047539   0.078529  -0.032129  -0.005013  -0.058686   0.013512   0.013331   10.0000     0.1545
   -5.500     5.000   0.233778   0.032234   0.046880   0.079114  -0.032704  -0.004789  -0.063939   0.013753   0.013581   10.0000     0.1476
   -5.000     5.000   0.271362   0.033632   0.046351   0.079983  -0.033319  -0.004572  -0.069012   0.014014   0.013824   10.0000     0.1425
   -4.500     5.000   0.308374   0.035149   0.045657   0.080806  -0.034000  -0.004307  -0.072792   0.014272   0.014069   10.0000     0.1377
   -4.000     5.000   0.344259   0.036657   0.045119   0.081776  -0.034811  -0.003957  -0.074151   0.014504   0.014342   10.0000     0.1323
   -3.500     5.000   0.373510   0.037469   0.044541   0.082011  -0.036542  -0.003064  -0.063327   0.015107   0.014944   10.0000     0.1205
   -3.000     5.000   0.418651   0.040172   0.043945   0.084117  -0.036165  -0.003665  -0.082143   0.014887   0.014722   10.0000     0.1274
   -2.500     5.000   0.452990   0.041529   0.043366   0.084895  -0.037222  -0.003313  -0.080566   0.015194   0.015023   10.0000     0.1227
   -2.000     5.000   0.486822   0.042374   0.042722   0.085096  -0.038354  -0.002958  -0.077946   0.015503   0.015331   10.0000     0.1181
   -1.500     5.000   0.521394   0.039675   0.042018   0.081693  -0.039455  -0.002759  -0.077605   0.015774   0.015601   10.0000     0.1153
   -1.000     5.000   0.574316   0.044352   0.041342   0.085694  -0.038163  -0.005743  -0.125793   0.015083   0.014890   10.0000     0.1330
   -0.500     5.000   0.599555   0.048960   0.040654   0.089613  -0.041347  -0.002864  -0.098596   0.016143   0.015946   10.0000     0.1191
    0.000     5.000   0.631185   0.051525   0.040094   0.091618  -0.043514  -0.001234  -0.091228   0.016770   0.016572   10.0000     0.1141
    0.500     5.000   0.672236   0.047224   0.039694   0.086918  -0.044909  -0.001363  -0.104450   0.017034   0.016842   10.0000     0.1168
    1.000     5.000   0.709897   0.057082   0.039416   0.096498  -0.045831  -0.000628  -0.113499   0.017149   0.016954   10.0000     0.1178
    1.500     5.000   0.748854   0.063870   0.039205   0.103075  -0.046824  -0.000195  -0.127569   0.017246   0.017048   10.0000     0.1205
    2.000     5.000   0.794629   0.071489   0.039134   0.110623  -0.047482  -0.000002  -0.151301   0.017230   0.017033   10.0000     0.1255
    2.500     5.000   0.837304   0.080727   0.039155   0.119882  -0.048789   0.000303  -0.171559   0.017212   0.017027   10.0000     0.1292
    3.000     5.000   0.881810   0.085177   0.039292   0.124469  -0.048787   0.000520  -0.193205   0.016987   0.016816   10.0000     0.1328
    3.500     5.000   0.926437   0.090527   0.039665   0.130191  -0.049245   0.000798  -0.213428   0.016848   0.016691   10.0000     0.1357
    4.000     5.000   0.967434   0.100787   0.040176   0.140963  -0.050478   0.001279  -0.231861   0.016986   0.016846   10.0000     0.1381
    4.500     5.000   1.011948   0.108409   0.043989   0.152398  -0.051771   0.001732  -0.253119   0.016967   0.016884   10.0000     0.1408
    5.000     5.000   1.052603   0.114489   0.045754   0.160243  -0.052519   0.001931  -0.270978   0.016720   0.016668   10.0000     0.1428


