xflr5 v6.61

Plane name :        FunCub_Flaps50_Eta6
Polar name :        T1-26.0 m/s-VLM2-b15.0°
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.500    15.000  -0.026435   0.018589   0.023812   0.042401  -0.100922  -0.013774  -0.043689   0.038158   0.037765   26.0000    -0.3411
   -5.000    15.000   0.012232   0.018793   0.023642   0.042435  -0.102062  -0.012983  -0.053877   0.038949   0.038542   26.0000     1.4294
   -4.500    15.000   0.050848   0.019262   0.023408   0.042670  -0.103404  -0.012168  -0.064077   0.039737   0.039311   26.0000     0.4182
   -4.000    15.000   0.089403   0.019980   0.023112   0.043092  -0.104929  -0.011328  -0.074294   0.040521   0.040072   26.0000     0.2968
   -3.500    15.000   0.127894   0.020927   0.022702   0.043630  -0.106615  -0.010466  -0.084534   0.041313   0.040823   26.0000     0.2496
   -3.000    15.000   0.166356   0.022099   0.022154   0.044253  -0.108428  -0.009588  -0.094882   0.042106   0.041561   26.0000     0.2247
   -2.500    15.000   0.206163   0.023606   0.021533   0.045138  -0.110174  -0.008899  -0.108756   0.042797   0.042223   26.0000     0.2127
   -2.000    15.000   0.244653   0.025574   0.021147   0.046722  -0.112216  -0.008052  -0.120052   0.043501   0.042948   26.0000     0.2026
   -1.500    15.000   0.273556   0.029030   0.020963   0.049993  -0.116549  -0.006064  -0.111945   0.044957   0.044417   26.0000     0.1815
   -1.000    15.000   0.318875   0.036093   0.020713   0.056807  -0.117193  -0.005821  -0.131516   0.045122   0.044594   26.0000     0.1818
   -0.500    15.000   0.358556   0.040626   0.020477   0.061103  -0.119846  -0.004880  -0.141874   0.045851   0.045324   26.0000     0.1768


