xflr5 v6.61

Plane name :        FunCub_Flaps0_Eta2
Polar name :        T1-18.0 m/s-VLM2-b15.0°
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.500    15.000  -0.281587   0.021389   0.018901   0.040290  -0.100975  -0.007397   0.113847   0.036787   0.036343   18.0000     0.1751
   -4.000    15.000  -0.239897   0.020706   0.018348   0.039055  -0.101488  -0.006512   0.103291   0.037446   0.036982   18.0000     0.1810
   -3.500    15.000  -0.198343   0.020226   0.017815   0.038041  -0.102215  -0.005601   0.092732   0.038101   0.037616   18.0000     0.1894
   -3.000    15.000  -0.156950   0.019874   0.017269   0.037143  -0.103125  -0.004663   0.082179   0.038755   0.038243   18.0000     0.2022
   -2.500    15.000  -0.115706   0.019691   0.016740   0.036431  -0.104180  -0.003701   0.071630   0.039397   0.038860   18.0000     0.2239
   -2.000    15.000  -0.074542   0.019623   0.015740   0.035364  -0.105354  -0.002714   0.061109   0.040068   0.039473   18.0000     0.2695
   -1.500    15.000  -0.033382   0.019455   0.014390   0.033846  -0.106611  -0.001703   0.050598   0.040674   0.040075   18.0000     0.4270
   -1.000    15.000   0.007817   0.019195   0.013855   0.033050  -0.107953  -0.000671   0.040069   0.041267   0.040665   18.0000    -1.1604
   -0.500    15.000   0.049131   0.019039   0.013706   0.032745  -0.109360   0.000384   0.029543   0.041839   0.041237   18.0000    -0.0593
    0.000    15.000   0.090545   0.019573   0.013769   0.033343  -0.110914   0.001460   0.019082   0.042391   0.041795   18.0000     0.0315
    0.500    15.000   0.132462   0.020000   0.013964   0.033964  -0.112659   0.002555   0.008491   0.042953   0.042357   18.0000     0.0652
    1.000    15.000   0.174207   0.019186   0.014225   0.033412  -0.114460   0.003655  -0.002167   0.043466   0.042865   18.0000     0.0828


