xflr5 v6.61

Plane name :        FunCub_Flaps0_Eta2
Polar name :        T1-26.0 m/s-VLM2-b10.0°
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.500    10.000  -0.465399   0.016976   0.018016   0.034992  -0.065554  -0.006968   0.162229   0.022781   0.022555   26.0000     0.1658
   -6.000    10.000  -0.421787   0.014724   0.017280   0.032004  -0.065443  -0.006435   0.152072   0.023196   0.023020   26.0000     0.1685
   -5.500    10.000  -0.378202   0.012641   0.016700   0.029340  -0.065472  -0.005884   0.141861   0.023670   0.023485   26.0000     0.1719
   -5.000    10.000  -0.334648   0.010696   0.016140   0.026836  -0.065633  -0.005314   0.131618   0.024143   0.023948   26.0000     0.1762
   -4.500    10.000  -0.291126   0.008840   0.015549   0.024389  -0.065921  -0.004727   0.121352   0.024615   0.024409   26.0000     0.1818
   -4.000    10.000  -0.247639   0.006988   0.014928   0.021916  -0.066327  -0.004122   0.111068   0.025087   0.024867   26.0000     0.1894
   -3.500    10.000  -0.204191   0.004988   0.014380   0.019369  -0.066844  -0.003499   0.100767   0.025554   0.025322   26.0000     0.2004
   -3.000    10.000  -0.160801   0.002585   0.013963   0.016549  -0.067465  -0.002861   0.090451   0.026015   0.025773   26.0000     0.2174
   -2.500    10.000  -0.117528  -0.000540   0.013582   0.013043  -0.068186  -0.002205   0.080127   0.026469   0.026220   26.0000     0.2468
   -2.000    10.000  -0.074528  -0.004577   0.013084   0.008507  -0.069003  -0.001535   0.069804   0.026931   0.026661   26.0000     0.3096
   -1.500    10.000  -0.032054  -0.007878   0.012389   0.004511  -0.069909  -0.000849   0.059479   0.027394   0.027096   26.0000     0.5361
   -1.000    10.000   0.010307  -0.006398   0.011110   0.004713  -0.070906  -0.000148   0.049161   0.027820   0.027525   26.0000    -1.0684
   -0.500    10.000   0.053271  -0.002047   0.010769   0.008722  -0.071965   0.000566   0.038825   0.028221   0.027937   26.0000    -0.0975
    0.000    10.000   0.096594   0.001627   0.010633   0.012260  -0.073131   0.001301   0.028700   0.028619   0.028347   26.0000     0.0069
    0.500    10.000   0.140281   0.004183   0.010648   0.014832  -0.074435   0.002063   0.018970   0.029028   0.028766   26.0000     0.0458
    1.000    10.000   0.184375   0.005621   0.010781   0.016401  -0.075855   0.002794   0.007697   0.029437   0.029186   26.0000     0.0684
    1.500    10.000   0.228092   0.007013   0.010972   0.017986  -0.076826   0.003547  -0.002946   0.029587   0.029346   26.0000     0.0816
    2.000    10.000   0.271710   0.008314   0.011204   0.019518  -0.078484   0.004328  -0.013518   0.029999   0.029763   26.0000     0.0905
    2.500    10.000   0.315374   0.009765   0.011436   0.021201  -0.080160   0.005115  -0.024169   0.030351   0.030120   26.0000     0.0971
    3.000    10.000   0.359072   0.011393   0.011667   0.023059  -0.081996   0.005913  -0.034886   0.030705   0.030477   26.0000     0.1021
    3.500    10.000   0.402804   0.013198   0.011900   0.025098  -0.084008   0.006724  -0.045656   0.031082   0.030855   26.0000     0.1060
    4.000    10.000   0.446591   0.015251   0.012113   0.027364  -0.085282   0.007489  -0.056476   0.031043   0.030819   26.0000     0.1093
    4.500    10.000   0.490372   0.017464   0.012362   0.029825  -0.087497   0.008304  -0.067330   0.031351   0.031131   26.0000     0.1120
    5.000    10.000   0.534169   0.019895   0.012629   0.032524  -0.089759   0.009120  -0.078219   0.031616   0.031400   26.0000     0.1143
    5.500    10.000   0.577982   0.022537   0.012939   0.035476  -0.092087   0.009939  -0.089119   0.031849   0.031642   26.0000     0.1163
    6.000    10.000   0.621810   0.025409   0.013293   0.038702  -0.094591   0.010764  -0.100053   0.032083   0.031885   26.0000     0.1180


