xflr5 v6.61

Plane name :        FunCub_Flaps100_Eta10
Polar name :        T1-10.0 m/s-VLM2-b10.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000    10.000   0.064778   0.031872   0.047992   0.079864  -0.060386  -0.013352  -0.089785   0.024207   0.023740   10.0000     0.4624
   -7.500    10.000   0.102683   0.032460   0.047679   0.080138  -0.061124  -0.012929  -0.097710   0.024562   0.024275   10.0000     0.3332
   -7.000    10.000   0.140525   0.033265   0.047792   0.081057  -0.061978  -0.012495  -0.105660   0.025099   0.024804   10.0000     0.2761
   -6.500    10.000   0.178300   0.034273   0.047764   0.082037  -0.062944  -0.012049  -0.113573   0.025638   0.025327   10.0000     0.2439
   -6.000    10.000   0.216008   0.035463   0.047453   0.082916  -0.064019  -0.011594  -0.121447   0.026207   0.025842   10.0000     0.2233
   -5.500    10.000   0.253673   0.036810   0.047047   0.083857  -0.065194  -0.011131  -0.129316   0.026699   0.026349   10.0000     0.2089
   -5.000    10.000   0.291356   0.038340   0.046439   0.084779  -0.066460  -0.010669  -0.137290   0.027228   0.026845   10.0000     0.1983
   -4.500    10.000   0.326025   0.040185   0.045936   0.086121  -0.068071  -0.009777  -0.137636   0.027828   0.027433   10.0000     0.1853
   -4.000    10.000   0.365675   0.042231   0.045595   0.087826  -0.069294  -0.009664  -0.151810   0.028166   0.027825   10.0000     0.1832
   -3.500    10.000   0.401640   0.043824   0.045208   0.089031  -0.071019  -0.009086  -0.157090   0.028705   0.028363   10.0000     0.1769
   -3.000    10.000   0.440287   0.045771   0.044669   0.090440  -0.072310  -0.008782  -0.166822   0.029055   0.028715   10.0000     0.1736
   -2.500    10.000   0.474721   0.047261   0.044178   0.091439  -0.074501  -0.008122  -0.169543   0.029695   0.029343   10.0000     0.1679
   -2.000    10.000   0.509678   0.048676   0.043677   0.092353  -0.076676  -0.007534  -0.173082   0.030295   0.029929   10.0000     0.1633
   -1.500    10.000   0.542673   0.050516   0.043147   0.093663  -0.079462  -0.006842  -0.174855   0.031068   0.030682   10.0000     0.1588
   -1.000    10.000   0.563186   0.051622   0.042793   0.094416  -0.083088  -0.004075  -0.131709   0.032234   0.031789   10.0000     0.1363
   -0.500    10.000   0.619532   0.056266   0.042039   0.098306  -0.083653  -0.005795  -0.187239   0.032109   0.031636   10.0000     0.1533
    0.000    10.000   0.655949   0.064729   0.041450   0.106179  -0.086268  -0.004909  -0.194234   0.032692   0.032221   10.0000     0.1517
    0.500    10.000   0.724364   0.078767   0.040879   0.119645  -0.083252  -0.007058  -0.265594   0.031348   0.030858   10.0000     0.1691
    1.000    10.000   0.746973   0.080439   0.040556   0.120995  -0.090335  -0.004374  -0.244433   0.033345   0.032868   10.0000     0.1592
    1.500    10.000   0.788772   0.083909   0.040364   0.124273  -0.093153  -0.003686  -0.260821   0.033832   0.033354   10.0000     0.1600
    2.000    10.000   0.828309   0.087790   0.040233   0.128023  -0.094177  -0.002828  -0.273741   0.033732   0.033269   10.0000     0.1599
    2.500    10.000   0.869734   0.092153   0.040354   0.132507  -0.098521  -0.002072  -0.290946   0.034274   0.033816   10.0000     0.1609
    3.000    10.000   0.907773   0.097986   0.040426   0.138412  -0.097846  -0.001206  -0.303221   0.033564   0.033128   10.0000     0.1608
    3.500    10.000   0.948500   0.103985   0.040691   0.144676  -0.099563  -0.000391  -0.318272   0.033727   0.033313   10.0000     0.1613
    4.000    10.000   0.990110   0.109081   0.041154   0.150235  -0.102743   0.000430  -0.334541   0.034399   0.034007   10.0000     0.1619
    4.500    10.000   1.030707   0.114502   0.041786   0.156288  -0.104043   0.001329  -0.348260   0.034915   0.034557   10.0000     0.1620


