xflr5 v6.61

Plane name :        FunCub_Flaps100_Eta10
Polar name :        T1-26.0 m/s-VLM2-b15.0°
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.500    15.000   0.196235   0.040238   0.039311   0.079548  -0.094785  -0.019880  -0.177111   0.036878   0.036522   26.0000     0.3148
   -6.000    15.000   0.232928   0.041479   0.039528   0.081007  -0.096279  -0.019204  -0.186771   0.037650   0.037287   26.0000     0.2864
   -5.500    15.000   0.269552   0.042957   0.039793   0.082750  -0.097964  -0.018503  -0.196385   0.038426   0.038044   26.0000     0.2659
   -5.000    15.000   0.305991   0.044654   0.039582   0.084236  -0.099847  -0.017762  -0.205646   0.039231   0.038798   26.0000     0.2502
   -4.500    15.000   0.343558   0.046679   0.039484   0.086163  -0.101759  -0.017186  -0.218042   0.039948   0.039490   26.0000     0.2398
   -4.000    15.000   0.378211   0.048652   0.039073   0.087725  -0.104188  -0.016222  -0.223883   0.040784   0.040299   26.0000     0.2282
   -3.500    15.000   0.414653   0.050768   0.038628   0.089396  -0.106467  -0.015523  -0.234000   0.041532   0.040999   26.0000     0.2207
   -3.000    15.000   0.448727   0.052678   0.038435   0.091113  -0.109433  -0.014607  -0.240103   0.042395   0.041870   26.0000     0.2129


