xflr5 v6.61

Plane name :        FunCub_Flaps0_Eta2
Polar name :        T1-10.0 m/s-VLM2-b15.0°
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.500    15.000  -0.281587   0.021389   0.024277   0.045666  -0.100975  -0.007397   0.114320   0.036932   0.036343   10.0000     0.1751
   -4.000    15.000  -0.239897   0.020706   0.023715   0.044421  -0.101488  -0.006512   0.103767   0.037598   0.036982   10.0000     0.1810
   -3.500    15.000  -0.198343   0.020226   0.023103   0.043329  -0.102215  -0.005601   0.093211   0.038267   0.037616   10.0000     0.1894
   -3.000    15.000  -0.156950   0.019874   0.022428   0.042302  -0.103125  -0.004663   0.082662   0.038930   0.038243   10.0000     0.2022
   -2.500    15.000  -0.115706   0.019691   0.021077   0.040768  -0.104180  -0.003701   0.072133   0.039590   0.038860   10.0000     0.2239
   -2.000    15.000  -0.074542   0.019623   0.019448   0.039072  -0.105354  -0.002714   0.061629   0.040227   0.039473   10.0000     0.2695
   -1.500    15.000  -0.033382   0.019455   0.019266   0.038721  -0.106611  -0.001703   0.051112   0.040847   0.040075   10.0000     0.4270
   -1.000    15.000   0.007817   0.019195   0.019712   0.038907  -0.107953  -0.000671   0.040937   0.041488   0.040665   10.0000    -1.1604


