xflr5 v6.61

Plane name :        FunCub_Flaps100
Polar name :        T1-26.0 m/s-VLM2-b10.0°
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000    10.000  -0.131786   0.034922   0.040647   0.075569  -0.059377  -0.001038   0.342970   0.023324   0.023042   26.0000     0.7352
   -7.500    10.000  -0.093707   0.034088   0.040519   0.074607  -0.059524  -0.000558   0.336462   0.023733   0.023459   26.0000     0.9717
   -7.000    10.000  -0.055688   0.033482   0.040463   0.073944  -0.059820  -0.000069   0.329872   0.024157   0.023883   26.0000     1.5110
   -6.500    10.000  -0.017735   0.033098   0.040476   0.073574  -0.060262   0.000428   0.323208   0.024578   0.024311   26.0000     3.9680
   -6.000    10.000   0.020150   0.032931   0.040593   0.073524  -0.060841   0.000934   0.316473   0.025008   0.024743   26.0000    -4.8142
   -5.500    10.000   0.057963   0.032974   0.040775   0.073749  -0.061550   0.001448   0.309670   0.025441   0.025178   26.0000    -1.3758
   -5.000    10.000   0.095703   0.033218   0.040207   0.073425  -0.062382   0.001971   0.302864   0.025902   0.025614   26.0000    -0.7590
   -4.500    10.000   0.133370   0.033654   0.039760   0.073414  -0.063327   0.002500   0.295986   0.026374   0.026052   26.0000    -0.5012
   -4.000    10.000   0.170964   0.034273   0.039273   0.073546  -0.064376   0.003037   0.289062   0.026793   0.026488   26.0000    -0.3597
   -3.500    10.000   0.208488   0.035064   0.038685   0.073749  -0.065523   0.003580   0.282089   0.027267   0.026922   26.0000    -0.2702
   -3.000    10.000   0.245945   0.036016   0.038087   0.074104  -0.066758   0.004129   0.275071   0.027695   0.027353   26.0000    -0.2086
   -2.500    10.000   0.283340   0.037119   0.037552   0.074671  -0.068078   0.004683   0.268011   0.028094   0.027779   26.0000    -0.1636
   -2.000    10.000   0.320676   0.038363   0.036935   0.075297  -0.069476   0.005242   0.260923   0.028488   0.028198   26.0000    -0.1293
   -1.500    10.000   0.357953   0.039745   0.036310   0.076055  -0.070952   0.005805   0.253826   0.028898   0.028609   26.0000    -0.1023
   -1.000    10.000   0.395076   0.041276   0.035745   0.077020  -0.072511   0.006389   0.247016   0.029298   0.029014   26.0000    -0.0807
   -0.500    10.000   0.430502   0.042921   0.035542   0.078464  -0.074251   0.007232   0.244736   0.029717   0.029451   26.0000    -0.0662
    0.000    10.000   0.436759   0.041293   0.035995   0.077288  -0.077817   0.012790   0.324714   0.030945   0.030632   26.0000    -0.1104
    0.500    10.000   0.504540   0.049430   0.035572   0.085002  -0.078175   0.008482   0.235165   0.030600   0.030355   26.0000    -0.0404
    1.000    10.000   0.542587   0.049370   0.035679   0.085049  -0.080235   0.008765   0.226119   0.030997   0.030758   26.0000    -0.0280
    1.500    10.000   0.578005   0.048334   0.035832   0.084166  -0.082771   0.009346   0.223220   0.031527   0.031294   26.0000    -0.0204
    2.000    10.000   0.613234   0.046096   0.035966   0.082063  -0.084486   0.009990   0.221196   0.031678   0.031452   26.0000    -0.0141
    2.500    10.000   0.648105   0.042403   0.036227   0.078629  -0.087462   0.010630   0.219883   0.032393   0.032169   26.0000    -0.0088
    3.000    10.000   0.682541   0.035748   0.036408   0.072156  -0.087930   0.011115   0.216228   0.031823   0.031608   26.0000    -0.0031
    4.000    10.000   0.766934   0.018847   0.036981   0.055828  -0.093705   0.011747   0.182344   0.032818   0.032591   26.0000     0.0165


