xflr5 v6.61

Plane name :        FunCub_Flaps50
Polar name :        T1-30.0 m/s-VLM2-b5.0°
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -9.500     5.000  -0.485569   0.022951   0.013752   0.036702  -0.028209  -0.002214   0.315622   0.009308   0.009197   30.0000     0.2483
   -9.000     5.000  -0.444678   0.020334   0.031161   0.051495  -0.027924  -0.001989   0.307358   0.009505   0.009393   30.0000     0.2591
   -8.500     5.000  -0.403822   0.017958   0.028012   0.045970  -0.027745  -0.001764   0.300762   0.009722   0.009605   30.0000     0.2721
   -8.000     5.000  -0.363004   0.015821   0.030396   0.046217  -0.027659  -0.001536   0.293686   0.009950   0.009829   30.0000     0.2880
   -7.500     5.000  -0.322228   0.013921   0.024950   0.038870  -0.027657  -0.001303   0.287141   0.010367   0.010063   30.0000     0.3081
   -7.000     5.000  -0.281498   0.012254   0.023491   0.035745  -0.027732  -0.001067   0.280280   0.010416   0.010303   30.0000     0.3340
   -6.500     5.000  -0.240817   0.010817   0.023116   0.033934  -0.027877  -0.000825   0.273298   0.010660   0.010548   30.0000     0.3687
   -6.000     5.000  -0.200187   0.009607   0.022625   0.032232  -0.028086  -0.000579   0.266299   0.010911   0.010796   30.0000     0.4175
   -5.500     5.000  -0.159611   0.008619   0.022083   0.030703  -0.028354  -0.000329   0.259283   0.011166   0.011045   30.0000     0.4910
   -5.000     5.000  -0.119092   0.007849   0.021535   0.029384  -0.028676  -0.000076   0.252256   0.011419   0.011293   30.0000     0.6145
   -4.500     5.000  -0.078631   0.007292   0.020984   0.028276  -0.029049   0.000180   0.245220   0.011668   0.011540   30.0000     0.8645
   -4.000     5.000  -0.038229   0.006942   0.020443   0.027385  -0.029467   0.000437   0.238182   0.011916   0.011783   30.0000     1.6367
   -3.500     5.000   0.002111   0.006793   0.019890   0.026682  -0.029927   0.000694   0.231149   0.012158   0.012022   30.0000   -34.3737
   -3.000     5.000   0.042390   0.006836   0.019162   0.025997  -0.030427   0.000948   0.224135   0.012411   0.012256   30.0000    -1.2672
   -2.500     5.000   0.082602   0.007058   0.018314   0.025372  -0.030961   0.001198   0.217149   0.012646   0.012482   30.0000    -0.5865
   -2.000     5.000   0.122741   0.007437   0.017464   0.024901  -0.031526   0.001443   0.210204   0.012862   0.012700   30.0000    -0.3536
   -1.500     5.000   0.162786   0.007873   0.016853   0.024726  -0.032118   0.001681   0.203329   0.013056   0.012905   30.0000    -0.2361
   -1.000     5.000   0.202673   0.007497   0.016359   0.023857  -0.032728   0.001922   0.196737   0.013236   0.013096   30.0000    -0.1658
   -0.500     5.000   0.241767   0.008933   0.015950   0.024883  -0.033389   0.002271   0.192448   0.013413   0.013283   30.0000    -0.1218
    0.000     5.000   0.261916   0.010911   0.016434   0.027345  -0.035802   0.004582   0.226727   0.014307   0.014175   30.0000    -0.1394
    0.500     5.000   0.318532   0.011116   0.016225   0.027341  -0.034843   0.002921   0.185681   0.013764   0.013655   30.0000    -0.0683
    1.000     5.000   0.356744   0.010199   0.016006   0.026205  -0.035685   0.003137   0.182022   0.013937   0.013832   30.0000    -0.0501
    1.500     5.000   0.398017  -0.004041   0.015750   0.011709  -0.036363   0.002997   0.170872   0.014015   0.013913   30.0000    -0.0300
    2.000     5.000   0.436172  -0.000337   0.015389   0.015052  -0.037327   0.003335   0.167411   0.014272   0.014161   30.0000    -0.0188
    2.500     5.000   0.470877   0.015100   0.015155   0.030255  -0.038710   0.004488   0.169238   0.014587   0.014488   30.0000    -0.0126
    3.000     5.000   0.514563   0.020089   0.014911   0.035001  -0.039365   0.004835   0.155589   0.014596   0.014489   30.0000     0.0017
    3.500     5.000   0.557380   0.024230   0.014643   0.038873  -0.040165   0.005196   0.140811   0.014626   0.014524   30.0000     0.0141
    4.000     5.000   0.601375   0.033306   0.014418   0.047724  -0.041006   0.005554   0.125535   0.014641   0.014547   30.0000     0.0250
    4.500     5.000   0.643972   0.032454   0.014263   0.046717  -0.041710   0.005901   0.110070   0.014623   0.014532   30.0000     0.0345
    5.000     5.000   0.687204   0.036773   0.015324   0.052097  -0.042611   0.006252   0.094437   0.014640   0.014546   30.0000     0.0429
    5.500     5.000   0.730467   0.041347   0.016166   0.057514  -0.043621   0.006597   0.078672   0.014593   0.014526   30.0000     0.0504
    6.000     5.000   0.773682   0.046255   0.016849   0.063104  -0.044578   0.006929   0.062866   0.014510   0.014461   30.0000     0.0570
    6.500     5.000   0.816457   0.054179   0.017494   0.071673  -0.045571   0.007258   0.047053   0.014434   0.014392   30.0000     0.0630
    7.000     5.000   0.860340   0.056796   0.017973   0.074769  -0.046651   0.007586   0.031264   0.014391   0.014335   30.0000     0.0684
    7.500     5.000   0.903480   0.061641   0.018438   0.080079  -0.047858   0.007918   0.015509   0.014321   0.014293   30.0000     0.0732
    8.000     5.000   0.946537   0.067117   0.018935   0.086052  -0.048828   0.008229  -0.000117   0.014230   0.014181   30.0000     0.0777


