xflr5 v6.61

Plane name :        FunCub
Polar name :        T1-30.0 m/s-VLM2-b5.0°
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     5.000  -0.761362   0.032520   0.022614   0.055134  -0.030012  -0.004441   0.200145   0.008167   0.008165   30.0000     0.1473
   -9.500     5.000  -0.717288   0.028960   0.021180   0.050140  -0.029377  -0.004266   0.190364   0.008324   0.008305   30.0000     0.1475
   -9.000     5.000  -0.673211   0.025622   0.019964   0.045586  -0.028854  -0.004091   0.180491   0.008505   0.008466   30.0000     0.1479
   -8.500     5.000  -0.629134   0.022503   0.019070   0.041573  -0.028431  -0.003914   0.170530   0.008689   0.008643   30.0000     0.1483
   -8.000     5.000  -0.585061   0.019605   0.018351   0.037957  -0.028097  -0.003733   0.160497   0.008888   0.008833   30.0000     0.1488
   -7.500     5.000  -0.540995   0.016926   0.017624   0.034549  -0.027846  -0.003547   0.150411   0.009093   0.009033   30.0000     0.1495
   -7.000     5.000  -0.496941   0.014464   0.016978   0.031443  -0.027670  -0.003355   0.140276   0.009309   0.009241   30.0000     0.1503
   -6.500     5.000  -0.452902   0.012219   0.016457   0.028675  -0.027564  -0.003156   0.130098   0.009526   0.009454   30.0000     0.1513
   -6.000     5.000  -0.408883   0.010187   0.015904   0.026092  -0.027525  -0.002949   0.119893   0.009745   0.009671   30.0000     0.1525
   -5.500     5.000  -0.364887   0.008368   0.015343   0.023711  -0.027548  -0.002734   0.109668   0.009969   0.009891   30.0000     0.1541
   -5.000     5.000  -0.320917   0.006758   0.014805   0.021564  -0.027631  -0.002511   0.099430   0.010198   0.010112   30.0000     0.1562
   -4.500     5.000  -0.276976   0.005356   0.014285   0.019641  -0.027771  -0.002280   0.089187   0.010425   0.010334   30.0000     0.1590
   -4.000     5.000  -0.233066   0.004160   0.013793   0.017953  -0.027965  -0.002040   0.078946   0.010651   0.010556   30.0000     0.1630
   -3.500     5.000  -0.189187   0.003167   0.013353   0.016520  -0.028212  -0.001792   0.068715   0.010876   0.010777   30.0000     0.1688
   -3.000     5.000  -0.145341   0.002384   0.012948   0.015332  -0.028510  -0.001537   0.058501   0.011100   0.010996   30.0000     0.1784
   -2.500     5.000  -0.101531   0.001844   0.012583   0.014427  -0.028857  -0.001273   0.048310   0.011320   0.011214   30.0000     0.1962
   -2.000     5.000  -0.057758   0.001370   0.012165   0.013535  -0.029251  -0.001001   0.038152   0.011541   0.011428   30.0000     0.2413
   -1.500     5.000  -0.014009   0.001148   0.011516   0.012664  -0.029690  -0.000722   0.028033   0.011766   0.011639   30.0000     0.5689
   -1.000     5.000   0.029705   0.001091   0.010268   0.011360  -0.030172  -0.000436   0.017957   0.011973   0.011845   30.0000    -0.0688
   -0.500     5.000   0.073422   0.000992   0.009870   0.010862  -0.030691  -0.000145   0.007857   0.012163   0.012045   30.0000     0.0531
    0.000     5.000   0.118913  -0.002244   0.009677   0.007433  -0.031076  -0.000028  -0.006614   0.012279   0.012167   30.0000     0.0932
    0.500     5.000   0.161041   0.001274   0.009644   0.010917  -0.031870   0.000457  -0.012396   0.012534   0.012428   30.0000     0.0980
    1.000     5.000   0.204711   0.002694   0.009725   0.012420  -0.032532   0.000772  -0.022556   0.012711   0.012612   30.0000     0.1062
    1.500     5.000   0.248526   0.003734   0.009893   0.013627  -0.033232   0.001089  -0.032891   0.012880   0.012786   30.0000     0.1117
    2.000     5.000   0.292373   0.004947   0.010100   0.015047  -0.033941   0.001409  -0.043298   0.013033   0.012944   30.0000     0.1155
    2.500     5.000   0.336375   0.006424   0.010334   0.016758  -0.034736   0.001733  -0.053776   0.013189   0.013104   30.0000     0.1185
    3.000     5.000   0.380286   0.007772   0.010575   0.018347  -0.035587   0.002062  -0.064313   0.013338   0.013256   30.0000     0.1208
    3.500     5.000   0.424257   0.009498   0.010811   0.020309  -0.036481   0.002393  -0.074898   0.013476   0.013397   30.0000     0.1227
    4.000     5.000   0.468260   0.011443   0.011048   0.022491  -0.037415   0.002726  -0.085525   0.013601   0.013523   30.0000     0.1243
    4.500     5.000   0.512284   0.013627   0.011293   0.024921  -0.038394   0.003060  -0.096185   0.013714   0.013638   30.0000     0.1256
    5.000     5.000   0.556331   0.016316   0.011556   0.027871  -0.039441   0.003396  -0.106870   0.013822   0.013747   30.0000     0.1268
    5.500     5.000   0.600437   0.018530   0.011835   0.030366  -0.040491   0.003732  -0.117557   0.013917   0.013842   30.0000     0.1278
    6.000     5.000   0.644523   0.021266   0.012133   0.033399  -0.041666   0.004071  -0.128264   0.014013   0.013940   30.0000     0.1288
    6.500     5.000   0.688617   0.024233   0.012445   0.036678  -0.042897   0.004409  -0.138972   0.014093   0.014022   30.0000     0.1296
    7.000     5.000   0.732712   0.027408   0.012767   0.040175  -0.044160   0.004745  -0.149666   0.014153   0.014083   30.0000     0.1304
    7.500     5.000   0.776805   0.030784   0.013108   0.043892  -0.045476   0.005079  -0.160335   0.014200   0.014134   30.0000     0.1311
    8.000     5.000   0.820888   0.034349   0.013459   0.047808  -0.046861   0.005413  -0.170971   0.014245   0.014181   30.0000     0.1318
    8.500     5.000   0.864947   0.038180   0.013801   0.051981  -0.048310   0.005746  -0.181563   0.014285   0.014222   30.0000     0.1324


