xflr5 v6.40

Plane name :        eGenius_40kg
Polar name :        T1-30.0 m/s-VLM2-b5.0°
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     5.000   0.320446   0.003414   0.009842   0.013257  -0.022448  -0.001497   0.073208   0.006923   0.006999   30.0000     0.0294
   -1.500     5.000   0.371870   0.004098   0.009887   0.013985  -0.022560  -0.001389   0.051363   0.006926   0.006998   30.0000     0.0573
   -1.000     5.000   0.423254   0.004945   0.009877   0.014822  -0.022711  -0.001282   0.029548   0.006917   0.006990   30.0000     0.0785
   -0.500     5.000   0.474616   0.006275   0.009934   0.016210  -0.022884  -0.001175   0.007778   0.006905   0.006979   30.0000     0.0952
    0.000     5.000   0.525912   0.006964   0.009997   0.016961  -0.023184  -0.001069  -0.013933   0.006892   0.006966   30.0000     0.1087
    0.500     5.000   0.577103   0.008032   0.010046   0.018078  -0.023521  -0.000963  -0.035569   0.006879   0.006952   30.0000     0.1199
    1.000     5.000   0.628209   0.009294   0.010070   0.019364  -0.023915  -0.000858  -0.057107   0.006864   0.006938   30.0000     0.1293
    1.500     5.000   0.679211   0.010688   0.010139   0.020828  -0.024376  -0.000753  -0.078523   0.006850   0.006924   30.0000     0.1373
    2.000     5.000   0.730094   0.012205   0.010335   0.022540  -0.024917  -0.000647  -0.099794   0.006839   0.006917   30.0000     0.1443
    2.500     5.000   0.780844   0.013842   0.010835   0.024677  -0.025549  -0.000540  -0.120888   0.006832   0.006916   30.0000     0.1505
    3.000     5.000   0.831444   0.015596   0.011484   0.027081  -0.026236  -0.000433  -0.141798   0.006830   0.006911   30.0000     0.1559
    3.500     5.000   0.881877   0.017461   0.012237   0.029699  -0.026934  -0.000329  -0.162490   0.006813   0.006892   30.0000     0.1608
    4.000     5.000   0.932131   0.019427   0.013062   0.032490  -0.027681  -0.000225  -0.182954   0.006794   0.006867   30.0000     0.1651
    4.500     5.000   0.982188   0.021372   0.013887   0.035259  -0.028498  -0.000122  -0.203175   0.006772   0.006841   30.0000     0.1691
    5.000     5.000   1.032011   0.023626   0.014712   0.038338  -0.029355  -0.000019  -0.223129   0.006749   0.006813   30.0000     0.1727
    5.500     5.000   1.081648   0.026056   0.015581   0.041637  -0.030267   0.000083  -0.242792   0.006721   0.006784   30.0000     0.1760
    6.000     5.000   1.131042   0.028503   0.016547   0.045051  -0.031247   0.000185  -0.262137   0.006692   0.006754   30.0000     0.1790
    6.500     5.000   1.180184   0.031048   0.017559   0.048607  -0.032289   0.000287  -0.281154   0.006665   0.006723   30.0000     0.1818
    7.000     5.000   1.229062   0.033697   0.018720   0.052417  -0.033394   0.000389  -0.299811   0.006640   0.006692   30.0000     0.1845
    7.500     5.000   1.277660   0.036452   0.020117   0.056569  -0.034567   0.000491  -0.318072   0.006612   0.006663   30.0000     0.1869
    8.000     5.000   1.325967   0.039311   0.021889   0.061200  -0.035810   0.000594  -0.335932   0.006593   0.006637   30.0000     0.1892
    8.500     5.000   1.373968   0.042274   0.024305   0.066578  -0.037116   0.000697  -0.353362   0.006564   0.006610   30.0000     0.1914


