xflr5 v6.32

Plane name :        Maja with Body
Polar name :        T1-22.0 m/s-VLM2-b10.0°
Freestream speed :  22.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000    10.000  -0.097713   0.006747   0.003761   0.010508  -0.052803  -0.014842  -0.019173   0.012628   0.009070   22.0000     0.0308
   -2.000    10.000   0.066994   0.005870   0.003048   0.008918  -0.052449  -0.013682  -0.018388   0.012455   0.008866   22.0000     0.1396
    0.000    10.000   0.231995   0.007079   0.003252   0.010331  -0.050877  -0.012701  -0.023192   0.012131   0.008534   22.0000     0.0924
    2.000    10.000   0.396963   0.008859   0.008833   0.017692  -0.048480  -0.011904  -0.033128   0.011764   0.008059   22.0000     0.0845
    4.000    10.000   0.564945   0.013893   0.009644   0.023537  -0.045109  -0.011331  -0.051126   0.011143   0.007611   22.0000     0.0808
    6.000    10.000   0.731843   0.023286   0.010612   0.033898  -0.039210  -0.010959  -0.075113   0.010500   0.007062   22.0000     0.0788
    8.000    10.000   0.900590   0.034179   0.012415   0.046594  -0.040586  -0.010778  -0.106451   0.011387   0.008025   22.0000     0.0778
   10.000    10.000   1.065737   0.045216   0.014454   0.059670  -0.031118  -0.010837  -0.140927   0.010166   0.006886   22.0000     0.0768


