xflr5 v6.58

Plane name :        FunCub
Polar name :        T1-40.0 m/s-VLM2-b10.0°
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000    10.000  -0.227879   0.007748   0.012987   0.020736  -0.059197  -0.007807   0.068873   0.022062   0.021870   40.0000     0.1599
   -3.500    10.000  -0.185075   0.006761   0.012653   0.019414  -0.059513  -0.007253   0.061451   0.022492   0.022291   40.0000     0.1646
   -3.000    10.000  -0.142318   0.005943   0.012357   0.018300  -0.059940  -0.006699   0.053557   0.022920   0.022712   40.0000     0.1721
   -2.500    10.000  -0.099609   0.005343   0.012091   0.017434  -0.060476  -0.006145   0.045186   0.023346   0.023132   40.0000     0.1861
   -2.000    10.000  -0.056922   0.005009   0.011802   0.016810  -0.061113  -0.005590   0.036325   0.023774   0.023551   40.0000     0.2213
   -1.500    10.000  -0.014253   0.004821   0.011350   0.016171  -0.061843  -0.005036   0.026926   0.024216   0.023966   40.0000     0.4663
   -1.000    10.000   0.028388   0.004785   0.010480   0.015265  -0.062669  -0.004483   0.016910   0.024640   0.024380   40.0000    -0.0279
   -0.500    10.000   0.071004   0.004995   0.009928   0.014923  -0.063552  -0.003928   0.006543   0.025036   0.024776   40.0000     0.0720
    0.000    10.000   0.117328   0.006086   0.009673   0.015759  -0.064180  -0.003402  -0.009791   0.025311   0.025068   40.0000     0.1080
    0.500    10.000   0.156807   0.005988   0.009596   0.015584  -0.065634  -0.002824  -0.015548   0.025804   0.025569   40.0000     0.1079
    1.000    10.000   0.199703   0.006296   0.009630   0.015926  -0.066884  -0.002278  -0.027456   0.026213   0.025986   40.0000     0.1145
    1.500    10.000   0.242592   0.006804   0.009745   0.016549  -0.067840  -0.001723  -0.039865   0.026429   0.026213   40.0000     0.1189
    2.000    10.000   0.285527   0.007436   0.009902   0.017339  -0.069263  -0.001180  -0.052751   0.026823   0.026614   40.0000     0.1219
    2.500    10.000   0.328530   0.008146   0.010105   0.018251  -0.070766  -0.000640  -0.066184   0.027186   0.026986   40.0000     0.1242
    3.000    10.000   0.371572   0.008791   0.010339   0.019130  -0.072425  -0.000105  -0.080160   0.027556   0.027362   40.0000     0.1261
    3.500    10.000   0.414579   0.009389   0.010588   0.019977  -0.074361   0.000426  -0.094671   0.028005   0.027816   40.0000     0.1276
    4.000    10.000   0.457394   0.011155   0.010820   0.021975  -0.075401   0.000943  -0.109713   0.027947   0.027762   40.0000     0.1289
    4.500    10.000   0.500224   0.014244   0.011070   0.025314  -0.077483   0.001457  -0.125278   0.028316   0.028133   40.0000     0.1301
    5.000    10.000   0.543252   0.017821   0.011323   0.029144  -0.079592   0.001963  -0.141361   0.028630   0.028448   40.0000     0.1310
    5.500    10.000   0.586417   0.021107   0.011586   0.032693  -0.081801   0.002461  -0.157938   0.028930   0.028748   40.0000     0.1318
    6.000    10.000   0.629623   0.024238   0.011863   0.036101  -0.084182   0.002951  -0.175019   0.029237   0.029056   40.0000     0.1326
    6.500    10.000   0.672822   0.027420   0.012144   0.039563  -0.086476   0.003422  -0.192596   0.029429   0.029247   40.0000     0.1333


