xflr5 v6.47

Plane name :        plane
Polar name :        T1-30.0 m/s-VLM2-b10.0°.gr.1.5
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000    10.000  -0.445433   0.007917   0.021986   0.029904  -0.052089  -0.015004   0.076221   0.012667   0.013010   30.0000     0.2564
   -7.000    10.000  -0.343486   0.006389   0.018953   0.025342  -0.048831  -0.013987   0.088285   0.012602   0.012818   30.0000     0.2803
   -6.000    10.000  -0.241503   0.005480   0.016605   0.022086  -0.046065  -0.013027   0.097236   0.012444   0.012609   30.0000     0.3210
   -5.000    10.000  -0.139504   0.003968   0.014716   0.018684  -0.044058  -0.012126   0.102988   0.012405   0.012403   30.0000     0.4155
   -4.000    10.000  -0.037484   0.003320   0.014042   0.017362  -0.042432  -0.011276   0.105832   0.012241   0.012168   30.0000     1.0027
   -3.000    10.000   0.064346   0.003128   0.013897   0.017025  -0.041384  -0.010489   0.105526   0.012023   0.011936   30.0000    -0.2554
   -2.000    10.000   0.165826   0.003209   0.013913   0.017121  -0.040815  -0.009756   0.101963   0.011773   0.011682   30.0000     0.0330
   -1.000    10.000   0.266916   0.003899   0.014021   0.017920  -0.040692  -0.009081   0.095110   0.011505   0.011411   30.0000     0.1053
    0.000    10.000   0.367380   0.004819   0.014215   0.019034  -0.041190  -0.008471   0.084958   0.011250   0.011154   30.0000     0.1401
    1.000    10.000   0.467223   0.006264   0.014472   0.020736  -0.042063  -0.007917   0.071532   0.010963   0.010867   30.0000     0.1616
    2.000    10.000   0.566218   0.008032   0.014797   0.022829  -0.043538  -0.007428   0.054850   0.010700   0.010603   30.0000     0.1770
    3.000    10.000   0.664337   0.010199   0.015195   0.025394  -0.045414  -0.006997   0.034957   0.010413   0.010316   30.0000     0.1890
    4.000    10.000   0.761411   0.012770   0.015688   0.028458  -0.047828  -0.006630   0.011910   0.010146   0.010049   30.0000     0.1990
    5.000    10.000   0.857356   0.015681   0.016307   0.031988  -0.050719  -0.006324  -0.014236   0.009881   0.009782   30.0000     0.2078
    6.000    10.000   0.952069   0.019021   0.017197   0.036218  -0.054088  -0.006079  -0.043328   0.009643   0.009530   30.0000     0.2156
    7.000    10.000   1.045498   0.022978   0.019047   0.042024  -0.057905  -0.005896  -0.074933   0.009455   0.009293   30.0000     0.2228
    8.000    10.000   1.140253   0.042204   0.022201   0.064405  -0.059831  -0.005791  -0.109082   0.009260   0.009080   30.0000     0.2292
    9.000    10.000   1.224654   0.033518   0.025924   0.059442  -0.066594  -0.005673  -0.138169   0.009050   0.008888   30.0000     0.2348
   10.000    10.000   1.313452   0.035181   0.031262   0.066443  -0.072323  -0.005733  -0.178440   0.008877   0.008702   30.0000     0.2417


