xflr5 v6.58

Plane name :        FunCub(Wing-Elevator-Fin)
Polar name :        T1-33.0 m/s-VLM2
Freestream speed :  33.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.060445   0.000629   0.011654   0.012282  -0.000036  -0.000001   0.017929   0.000001   0.000001   33.0000     0.1529
   -2.500     0.000  -0.016428   0.000579   0.011248   0.011827  -0.000036  -0.000001   0.013919   0.000001   0.000001   33.0000     0.2396
   -2.000     0.000   0.027596   0.000654   0.010994   0.011647  -0.000036  -0.000001   0.009704   0.000001   0.000001   33.0000     0.0496
   -1.500     0.000   0.071620   0.000852   0.010738   0.011590  -0.000036  -0.000001   0.005239   0.000001   0.000001   33.0000     0.0932
   -1.000     0.000   0.115637   0.001174   0.010491   0.011665  -0.000036  -0.000001   0.000530   0.000001   0.000001   33.0000     0.1036
   -0.500     0.000   0.159641   0.001620   0.010162   0.011782  -0.000036  -0.000001  -0.004449   0.000001   0.000001   33.0000     0.1083
    0.000     0.000   0.203624   0.002190   0.009553   0.011743  -0.000037  -0.000001  -0.009758   0.000001   0.000001   33.0000     0.1109
    0.500     0.000   0.247581   0.002883   0.008910   0.011793  -0.000037  -0.000001  -0.015321   0.000001   0.000001   33.0000     0.1127
    1.000     0.000   0.291505   0.003699   0.008638   0.012337  -0.000037  -0.000001  -0.021013   0.000001   0.000001   33.0000     0.1139
    1.500     0.000   0.335389   0.004637   0.008635   0.013273  -0.000037  -0.000001  -0.026861   0.000001   0.000001   33.0000     0.1148
    2.000     0.000   0.379227   0.005698   0.008700   0.014398  -0.000037  -0.000001  -0.032927   0.000001   0.000001   33.0000     0.1155
    2.500     0.000   0.423013   0.006879   0.008833   0.015712  -0.000037  -0.000001  -0.039206   0.000001   0.000001   33.0000     0.1160
    3.000     0.000   0.466739   0.008182   0.008995   0.017176  -0.000037  -0.000001  -0.045709   0.000001   0.000001   33.0000     0.1165
    3.500     0.000   0.510399   0.009603   0.009214   0.018817  -0.000037  -0.000001  -0.052426   0.000001   0.000001   33.0000     0.1169
    4.000     0.000   0.553987   0.011144   0.009442   0.020586  -0.000038  -0.000001  -0.059368   0.000001   0.000001   33.0000     0.1172
    4.500     0.000   0.597496   0.012802   0.009674   0.022476  -0.000038  -0.000001  -0.066537   0.000001   0.000001   33.0000     0.1175
    5.000     0.000   0.640920   0.014576   0.009905   0.024482  -0.000038  -0.000001  -0.073930   0.000001   0.000001   33.0000     0.1177
    5.500     0.000   0.684253   0.016466   0.010157   0.026623  -0.000038  -0.000001  -0.081542   0.000001   0.000001   33.0000     0.1180
    6.000     0.000   0.727488   0.018470   0.010437   0.028907  -0.000038  -0.000001  -0.089373   0.000001   0.000001   33.0000     0.1182
    6.500     0.000   0.770619   0.020587   0.010751   0.031338  -0.000038  -0.000001  -0.097421   0.000001   0.000001   33.0000     0.1184
    7.000     0.000   0.813639   0.022815   0.011120   0.033935  -0.000038  -0.000001  -0.105683   0.000001   0.000001   33.0000     0.1186
    7.500     0.000   0.856543   0.025152   0.011544   0.036696  -0.000038  -0.000001  -0.114160   0.000001   0.000001   33.0000     0.1188
    8.000     0.000   0.899324   0.027597   0.012027   0.039624  -0.000038  -0.000001  -0.122856   0.000001   0.000001   33.0000     0.1189
    8.500     0.000   0.941977   0.030149   0.012524   0.042673  -0.000038  -0.000001  -0.131774   0.000001   0.000001   33.0000     0.1191
    9.000     0.000   0.984495   0.032805   0.012938   0.045743  -0.000038  -0.000001  -0.140903   0.000001   0.000002   33.0000     0.1192
    9.500     0.000   1.026871   0.035564   0.013362   0.048926  -0.000038  -0.000001  -0.150242   0.000001   0.000002   33.0000     0.1194
   10.000     0.000   1.069101   0.038423   0.013779   0.052202  -0.000038  -0.000001  -0.159780   0.000001   0.000002   33.0000     0.1195


