xflr5 v6.58

Plane name :        FunCub(Wing-Elevator-Fin)
Polar name :        T1-26.0 m/s-VLM2-b5.0°
Freestream speed :  26.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     5.000  -0.057107   0.001539   0.013265   0.014804  -0.023694  -0.002751   0.011297   0.008588   0.008536   26.0000     0.1315
   -2.500     5.000  -0.014822   0.001179   0.012761   0.013939  -0.023724  -0.002487   0.010769   0.008746   0.008692   26.0000     0.2040
   -2.000     5.000   0.027451   0.000973   0.012366   0.013339  -0.023818  -0.002224   0.009845   0.008903   0.008847   26.0000     0.0526
   -1.500     5.000   0.069706   0.000923   0.011996   0.012920  -0.023977  -0.001962   0.008500   0.009058   0.009000   26.0000     0.0847
   -1.000     5.000   0.111938   0.001046   0.011580   0.012626  -0.024202  -0.001701   0.006711   0.009213   0.009152   26.0000     0.0926
   -0.500     5.000   0.154153   0.001344   0.011002   0.012346  -0.024497  -0.001442   0.004404   0.009370   0.009301   26.0000     0.0961
    0.000     5.000   0.193452   0.002840   0.010194   0.013034  -0.024284  -0.001468   0.010760   0.009329   0.009259   26.0000     0.0868
    0.500     5.000   0.238638   0.003045   0.009834   0.012879  -0.025255  -0.000930  -0.001692   0.009659   0.009589   26.0000     0.0995
    1.000     5.000   0.280958   0.004375   0.009576   0.013951  -0.025711  -0.000678  -0.005424   0.009798   0.009727   26.0000     0.1004
    1.500     5.000   0.323214   0.005888   0.009544   0.015432  -0.026243  -0.000432  -0.009666   0.009935   0.009870   26.0000     0.1013
    2.000     5.000   0.365477   0.007519   0.009608   0.017127  -0.026848  -0.000189  -0.014402   0.010077   0.010015   26.0000     0.1020
    2.500     5.000   0.407709   0.009272   0.009732   0.019003  -0.027286   0.000055  -0.019622   0.010117   0.010054   26.0000     0.1025
    3.000     5.000   0.449926   0.011148   0.009896   0.021044  -0.027886   0.000291  -0.025349   0.010207   0.010146   26.0000     0.1030
    3.500     5.000   0.492108   0.013191   0.010120   0.023311  -0.028608   0.000523  -0.031568   0.010313   0.010257   26.0000     0.1035
    4.000     5.000   0.534255   0.015378   0.010372   0.025750  -0.029387   0.000751  -0.038283   0.010413   0.010359   26.0000     0.1039
    4.500     5.000   0.576356   0.017739   0.010641   0.028380  -0.030210   0.000974  -0.045492   0.010504   0.010453   26.0000     0.1043
    5.000     5.000   0.618406   0.020271   0.010917   0.031188  -0.031085   0.001192  -0.053195   0.010590   0.010540   26.0000     0.1046
    5.500     5.000   0.660366   0.022980   0.011205   0.034185  -0.031631   0.001401  -0.061360   0.010494   0.010444   26.0000     0.1049
    6.000     5.000   0.702270   0.025844   0.011509   0.037353  -0.032232   0.001597  -0.070008   0.010400   0.010352   26.0000     0.1052
    6.500     5.000   0.744112   0.028892   0.011838   0.040729  -0.032972   0.001783  -0.079139   0.010347   0.010300   26.0000     0.1055
    7.000     5.000   0.785878   0.032142   0.012180   0.044322  -0.033797   0.001961  -0.088744   0.010296   0.010250   26.0000     0.1058
    7.500     5.000   0.827495   0.035493   0.012532   0.048025  -0.034614   0.002127  -0.098808   0.010215   0.010170   26.0000     0.1061
    8.000     5.000   0.869082   0.039035   0.012882   0.051918  -0.035498   0.002280  -0.109334   0.010125   0.010082   26.0000     0.1064
    8.500     5.000   0.910565   0.042779   0.013236   0.056015  -0.036437   0.002423  -0.120313   0.010033   0.009992   26.0000     0.1066
    9.000     5.000   0.951940   0.046741   0.013598   0.060339  -0.037492   0.002558  -0.131742   0.009961   0.009923   26.0000     0.1069
    9.500     5.000   0.993121   0.050919   0.013957   0.064875  -0.037979   0.002648  -0.143557   0.009600   0.009564   26.0000     0.1072
   10.000     5.000   1.034229   0.055356   0.014328   0.069685  -0.038994   0.002751  -0.155840   0.009462   0.009429   26.0000     0.1074


